id_envio,id_cliente,origen,destino,hora_local,hora_utc,cantidad,estado,costo_horas,dias_viaje,escalas,cumple_plazo,plazo_dias,ruta,num_vuelos,motivo_fallo
000000004,0025251,SBBR,OJAI,2026-01-02 05:01,2026-01-02 08:01,3,OK,13.42,0.5590,0,True,2,SBBR > OJAI,1,
000000008,0026651,SBBR,OYSN,2026-01-02 10:07,2026-01-02 13:07,2,OK,18.28,0.7618,1,True,2,SBBR > SGAS > OYSN,2,
000000007,0024235,SBBR,OOMS,2026-01-02 08:48,2026-01-02 11:48,2,OK,17.58,0.7326,0,True,2,SBBR > OOMS,1,
000000002,0012137,SBBR,OAKB,2026-01-02 02:37,2026-01-02 05:37,3,OK,19.17,0.7986,0,True,2,SBBR > OAKB,1,
000000001,0009593,SBBR,EHAM,2026-01-02 01:16,2026-01-02 04:16,3,OK,12.43,0.5181,0,True,2,SBBR > EHAM,1,
000000003,0010458,SBBR,SCEL,2026-01-02 03:52,2026-01-02 06:52,3,OK,9.38,0.3910,1,True,1,SBBR > SLLP > SCEL,2,
000000005,0021302,SBBR,SEQM,2026-01-02 06:21,2026-01-02 09:21,3,OK,6.02,0.2507,0,True,1,SBBR > SEQM,1,
000000006,0014378,SBBR,OOMS,2026-01-02 07:33,2026-01-02 10:33,3,OK,18.83,0.7847,0,True,2,SBBR > OOMS,1,
000000010,0012816,SBBR,SLLP,2026-01-03 00:57,2026-01-03 03:57,2,OK,8.55,0.3563,0,True,1,SBBR > SLLP,1,
000000009,0020908,SBBR,SPIM,2026-01-02 11:22,2026-01-02 14:22,1,OK,6.35,0.2646,0,True,1,SBBR > SPIM,1,
000000011,0006776,SBBR,SCEL,2026-01-03 01:49,2026-01-03 04:49,2,OK,7.90,0.3292,1,True,1,SBBR > SGAS > SCEL,2,
000000013,0031422,SBBR,EDDI,2026-01-03 03:37,2026-01-03 06:37,2,OK,12.48,0.5201,0,True,2,SBBR > EDDI,1,
000000014,0006812,SBBR,LKPR,2026-01-03 04:26,2026-01-03 07:26,2,OK,12.95,0.5396,0,True,2,SBBR > LKPR,1,
000000012,0019184,SBBR,SPIM,2026-01-03 02:47,2026-01-03 05:47,2,OK,8.40,0.3500,0,True,1,SBBR > SPIM,1,
000000015,0025666,SBBR,EBCI,2026-01-03 05:25,2026-01-03 08:25,2,OK,14.98,0.6243,0,True,2,SBBR > EBCI,1,
000000018,0016536,SBBR,UMMS,2026-01-03 07:03,2026-01-03 10:03,1,OK,14.28,0.5951,1,True,2,SBBR > LBSF > UMMS,2,
000000017,0029809,SBBR,SEQM,2026-01-03 07:08,2026-01-03 10:08,1,OK,5.23,0.2181,0,True,1,SBBR > SEQM,1,
000000019,0014657,SBBR,OPKC,2026-01-03 08:52,2026-01-03 11:52,1,OK,18.87,0.7861,1,True,2,SBBR > OSDI > OPKC,2,
000000016,0003472,SBBR,LDZA,2026-01-03 06:12,2026-01-03 09:12,1,OK,16.77,0.6986,2,True,2,SBBR > LATI > LKPR > LDZA,3,
000000021,0003836,SBBR,OAKB,2026-01-03 10:43,2026-01-03 13:43,1,OK,16.88,0.7035,0,True,2,SBBR > OAKB,1,
000000022,0000145,SBBR,EHAM,2026-01-03 11:35,2026-01-03 14:35,1,OK,13.13,0.5472,0,True,2,SBBR > EHAM,1,
000000020,0010620,SBBR,SVMI,2026-01-03 09:47,2026-01-03 12:47,1,OK,9.22,0.3840,1,True,1,SBBR > SGAS > SVMI,2,
000000023,0016761,SBBR,LKPR,2026-01-03 12:28,2026-01-03 15:28,1,OK,13.98,0.5826,0,True,2,SBBR > LKPR,1,
000000024,0014550,SBBR,SVMI,2026-01-03 13:19,2026-01-03 16:19,1,OK,5.70,0.2375,0,True,1,SBBR > SVMI,1,
000000026,0003803,SBBR,VIDP,2026-01-03 15:01,2026-01-03 18:01,1,OK,19.12,0.7965,0,True,2,SBBR > VIDP,1,
000000027,0002591,SBBR,EKCH,2026-01-04 01:20,2026-01-04 04:20,3,OK,12.98,0.5410,0,True,2,SBBR > EKCH,1,
000000028,0017334,SBBR,OOMS,2026-01-04 02:36,2026-01-04 05:36,3,OK,16.83,0.7014,0,True,2,SBBR > OOMS,1,
000000025,0018692,SBBR,EKCH,2026-01-03 14:10,2026-01-03 17:10,1,OK,14.53,0.6056,1,True,2,SBBR > LKPR > EKCH,2,
000000030,0014964,SBBR,SPIM,2026-01-04 05:00,2026-01-04 08:00,3,OK,6.18,0.2576,0,True,1,SBBR > SPIM,1,
