id_envio,id_cliente,origen,destino,hora_local,hora_utc,cantidad,estado,costo_horas,dias_viaje,escalas,cumple_plazo,plazo_dias,ruta,num_vuelos,motivo_fallo
000000595,0009156,SKBO,UBBB,2026-01-31 01:24,2026-01-31 06:24,5,OK,21.28,0.8868,0,true,2,"SKBO > UBBB",1,
000000596,0007905,SKBO,OERK,2026-01-31 02:32,2026-01-31 07:32,5,OK,19.33,0.8056,0,true,2,"SKBO > OERK",1,
000000597,0022885,SKBO,OOMS,2026-01-31 03:47,2026-01-31 08:47,5,OK,17.65,0.7354,0,true,2,"SKBO > OOMS",1,
000000598,0001836,SKBO,SVMI,2026-01-31 05:00,2026-01-31 10:00,5,OK,3.78,0.1576,0,true,1,"SKBO > SVMI",1,
000000599,0010508,SKBO,OPKC,2026-01-31 06:17,2026-01-31 11:17,5,OK,22.92,0.9549,0,true,2,"SKBO > OPKC",1,
000000600,0031493,SKBO,LKPR,2026-01-31 07:38,2026-01-31 12:38,5,OK,16.15,0.6729,0,true,2,"SKBO > LKPR",1,
000000601,0024773,SKBO,OYSN,2026-01-31 08:49,2026-01-31 13:49,4,OK,22.10,0.9208,0,true,2,"SKBO > OYSN",1,
000000602,0023335,SKBO,LDZA,2026-01-31 10:00,2026-01-31 15:00,4,OK,13.42,0.5590,0,true,2,"SKBO > LDZA",1,
000000603,0000707,SKBO,SVMI,2026-01-31 11:15,2026-01-31 16:15,1,OK,4.07,0.1694,0,true,1,"SKBO > SVMI",1,
000000604,0023588,SKBO,OYSN,2026-02-01 00:44,2026-02-01 05:44,2,OK,19.30,0.8042,0,true,2,"SKBO > OYSN",1,
000000605,0028315,SKBO,SEQM,2026-02-01 01:34,2026-02-01 06:34,2,OK,2.78,0.1160,0,true,1,"SKBO > SEQM",1,
000000606,0001009,SKBO,LKPR,2026-02-01 02:14,2026-02-01 07:14,2,OK,15.28,0.6368,0,true,2,"SKBO > LKPR",1,
000000607,0011455,SKBO,OERK,2026-02-01 02:58,2026-02-01 07:58,2,OK,18.90,0.7875,0,true,2,"SKBO > OERK",1,
000000608,0000742,SKBO,LOWW,2026-02-01 03:38,2026-02-01 08:38,2,OK,15.99,0.6662,1,true,2,"SKBO > LATI > LOWW",2,
000000609,0024512,SKBO,OSDI,2026-02-01 04:20,2026-02-01 09:20,2,OK,18.80,0.7833,1,true,2,"SKBO > LATI > OSDI",2,
000000610,0027368,SKBO,SGAS,2026-02-01 05:09,2026-02-01 10:09,2,OK,5.68,0.2368,0,true,1,"SKBO > SGAS",1,
000000611,0017650,SKBO,LDZA,2026-02-01 05:48,2026-02-01 10:48,2,OK,12.32,0.5132,0,true,2,"SKBO > LDZA",1,
000000612,0003169,SKBO,SLLP,2026-02-01 06:36,2026-02-01 11:36,2,OK,9.77,0.4072,1,true,1,"SKBO > SCEL > SLLP",2,
000000614,0029105,SKBO,EHAM,2026-02-01 07:02,2026-02-01 12:02,2,OK,15.34,0.6391,1,true,2,"SKBO > EKCH > EHAM",2,
000000613,0022640,SKBO,OOMS,2026-02-01 07:13,2026-02-01 12:13,2,OK,20.45,0.8521,0,true,2,"SKBO > OOMS",1,
000000615,0008681,SKBO,EDDI,2026-02-01 08:37,2026-02-01 13:37,2,OK,17.07,0.7111,0,true,2,"SKBO > EDDI",1,
000000616,0024033,SKBO,OERK,2026-02-01 09:22,2026-02-01 14:22,2,OK,18.10,0.7542,0,true,2,"SKBO > OERK",1,
000000617,0007042,SKBO,EHAM,2026-02-01 10:09,2026-02-01 15:09,2,OK,17.29,0.7203,1,true,2,"SKBO > LDZA > EHAM",2,
000000618,0011420,SKBO,SBBR,2026-02-01 10:48,2026-02-01 15:48,2,OK,14.15,0.5896,0,true,1,"SKBO > SBBR",1,
000000619,0012244,SKBO,SPIM,2026-02-01 11:36,2026-02-01 16:36,2,OK,12.04,0.5018,1,true,1,"SKBO > SVMI > SPIM",2,
000000621,0030470,SKBO,OAKB,2026-02-01 12:03,2026-02-01 17:03,1,OK,18.70,0.7792,0,true,2,"SKBO > OAKB",1,
000000620,0020652,SKBO,EBCI,2026-02-01 12:20,2026-02-01 17:20,1,OK,12.30,0.5125,0,true,2,"SKBO > EBCI",1,
000000622,0001594,SKBO,SLLP,2026-02-01 13:44,2026-02-01 18:44,1,OK,9.30,0.3874,1,true,1,"SKBO > SEQM > SLLP",2,
000000623,0003276,SKBO,SABE,2026-02-01 14:26,2026-02-01 19:26,1,OK,12.92,0.5384,1,true,1,"SKBO > SGAS > SABE",2,
000000624,0007679,SKBO,OMDB,2026-02-01 15:03,2026-02-01 20:03,1,OK,19.94,0.8307,1,true,2,"SKBO > OERK > OMDB",2,
000000625,0024710,SKBO,VIDP,2026-02-01 15:54,2026-02-01 20:54,1,OK,22.42,0.9340,0,true,2,"SKBO > VIDP",1,
000000626,0029221,SKBO,OSDI,2026-02-01 16:34,2026-02-01 21:34,1,OK,15.25,0.6354,0,true,2,"SKBO > OSDI",1,
000000627,0023955,SKBO,OMDB,2026-02-02 00:50,2026-02-02 05:50,2,OK,21.23,0.8847,0,true,2,"SKBO > OMDB",1,
000000628,0005006,SKBO,UBBB,2026-02-02 01:31,2026-02-02 06:31,2,OK,21.17,0.8819,0,true,2,"SKBO > UBBB",1,
000000629,0023487,SKBO,SVMI,2026-02-02 02:08,2026-02-02 07:08,2,OK,6.65,0.2771,0,true,1,"SKBO > SVMI",1,
000000630,0002088,SKBO,LKPR,2026-02-02 02:47,2026-02-02 07:47,2,OK,14.73,0.6139,0,true,2,"SKBO > LKPR",1,
000000631,0015993,SKBO,SLLP,2026-02-02 03:34,2026-02-02 08:34,2,OK,12.81,0.5336,1,true,1,"SKBO > SCEL > SLLP",2,
000000632,0011001,SKBO,SVMI,2026-02-02 04:11,2026-02-02 09:11,2,OK,4.60,0.1917,0,true,1,"SKBO > SVMI",1,
000000633,0024567,SKBO,OOMS,2026-02-02 04:54,2026-02-02 09:54,2,OK,22.77,0.9486,0,true,2,"SKBO > OOMS",1,
000000634,0032671,SKBO,OJAI,2026-02-02 05:32,2026-02-02 10:32,2,OK,19.55,0.8145,1,true,2,"SKBO > OERK > OJAI",2,
000000635,0003545,SKBO,LDZA,2026-02-02 06:17,2026-02-02 11:17,2,OK,15.70,0.6542,1,true,2,"SKBO > LBSF > LDZA",2,
000000636,0008838,SKBO,SABE,2026-02-02 06:58,2026-02-02 11:58,2,OK,8.03,0.3347,0,true,1,"SKBO > SABE",1,
000000637,0008563,SKBO,OAKB,2026-02-02 07:33,2026-02-02 12:33,2,OK,20.52,0.8549,0,true,2,"SKBO > OAKB",1,
000000638,0028801,SKBO,UBBB,2026-02-02 08:16,2026-02-02 13:16,2,OK,20.82,0.8674,0,true,2,"SKBO > UBBB",1,
000000639,0007604,SKBO,OMDB,2026-02-02 08:53,2026-02-02 13:53,2,OK,19.68,0.8201,0,true,2,"SKBO > OMDB",1,
000000640,0011197,SKBO,EDDI,2026-02-02 09:41,2026-02-02 14:41,2,OK,16.00,0.6667,0,true,2,"SKBO > EDDI",1,
000000641,0020363,SKBO,OERK,2026-02-02 10:16,2026-02-02 15:16,1,OK,17.20,0.7167,0,true,2,"SKBO > OERK",1,
000000642,0007721,SKBO,OSDI,2026-02-02 10:59,2026-02-02 15:59,1,OK,14.83,0.6181,0,true,2,"SKBO > OSDI",1,
000000643,0023445,SKBO,OOMS,2026-02-02 11:38,2026-02-02 16:38,1,OK,19.44,0.8099,1,true,2,"SKBO > OMDB > OOMS",2,
000000645,0029151,SKBO,OERK,2026-02-02 12:01,2026-02-02 17:01,1,OK,19.28,0.8035,0,true,2,"SKBO > OERK",1,
000000644,0016741,SKBO,LATI,2026-02-02 12:23,2026-02-02 17:23,1,OK,14.82,0.6174,0,true,2,"SKBO > LATI",1,
000000646,0003393,SKBO,SLLP,2026-02-02 13:45,2026-02-02 18:45,1,OK,9.28,0.3868,1,true,1,"SKBO > SEQM > SLLP",2,
000000647,0019882,SKBO,SGAS,2026-02-02 14:30,2026-02-02 19:30,1,OK,7.80,0.3250,0,true,1,"SKBO > SGAS",1,
000000648,0003822,SKBO,EKCH,2026-02-02 15:06,2026-02-02 20:06,1,OK,16.63,0.6927,1,true,2,"SKBO > LKPR > EKCH",2,
000000649,0001338,SKBO,SABE,2026-02-02 15:48,2026-02-02 20:48,1,OK,11.56,0.4815,1,true,1,"SKBO > SGAS > SABE",2,
000000650,0031339,SKBO,OAKB,2026-02-02 16:24,2026-02-02 21:24,1,OK,24.20,1.0085,1,true,2,"SKBO > LKPR > OAKB",2,
000000651,0004623,SKBO,OAKB,2026-02-02 17:09,2026-02-02 22:09,1,OK,23.58,0.9826,0,true,2,"SKBO > OAKB",1,
000000575,0026398,SEQM,LATI,2026-01-31 00:38,2026-01-31 05:38,2,OK,16.48,0.6868,0,true,2,"SEQM > LATI",1,
000000576,0009034,SEQM,SGAS,2026-01-31 01:20,2026-01-31 06:20,2,OK,10.53,0.4389,0,true,1,"SEQM > SGAS",1,
000000577,0013441,SEQM,OSDI,2026-01-31 01:59,2026-01-31 06:59,2,OK,18.88,0.7868,0,true,2,"SEQM > OSDI",1,
000000578,0002207,SEQM,SCEL,2026-01-31 02:32,2026-01-31 07:32,2,OK,7.43,0.3097,0,true,1,"SEQM > SCEL",1,
000000579,0025448,SEQM,UBBB,2026-01-31 03:08,2026-01-31 08:08,2,OK,18.62,0.7757,0,true,2,"SEQM > UBBB",1,
000000580,0009416,SEQM,LATI,2026-01-31 03:50,2026-01-31 08:50,2,OK,18.50,0.7708,0,true,2,"SEQM > LATI",1,
000000581,0000132,SEQM,EHAM,2026-01-31 04:23,2026-01-31 09:23,2,OK,15.05,0.6271,0,true,2,"SEQM > EHAM",1,
000000582,0014681,SEQM,SGAS,2026-01-31 04:59,2026-01-31 09:59,2,OK,6.88,0.2868,0,true,1,"SEQM > SGAS",1,
000000583,0027128,SEQM,SBBR,2026-01-31 05:35,2026-01-31 10:35,2,OK,7.78,0.3243,0,true,1,"SEQM > SBBR",1,
